,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,LQD230120C00075000,2021-11-10 11:49:48+00:00,75.0,60.1,59.9,60.85,0.0,0.0,1.0,0,0.9561161614990235,True,REGULAR,USD
1,LQD230120C00085000,2022-03-15 14:28:09+00:00,85.0,34.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
2,LQD230120C00110000,2022-03-22 19:54:48+00:00,110.0,10.8,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
3,LQD230120C00115000,2021-11-10 11:49:47+00:00,115.0,14.55,19.5,20.4,0.0,0.0,1.0,0,0.4044859356689453,True,REGULAR,USD
4,LQD230120C00120000,2022-03-14 14:13:24+00:00,120.0,3.1,0.0,0.0,0.0,0.0,5.0,6,1.0000000000000003e-05,True,REGULAR,USD
5,LQD230120C00121000,2022-03-31 14:10:37+00:00,121.0,3.84,0.0,0.0,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
6,LQD230120C00122000,2022-03-21 15:59:11+00:00,122.0,3.38,0.0,0.0,0.0,0.0,400.0,210,0.00196310546875,False,REGULAR,USD
7,LQD230120C00123000,2022-03-21 15:56:53+00:00,123.0,3.05,0.0,0.0,0.0,0.0,400.0,401,0.0039162109375,False,REGULAR,USD
8,LQD230120C00124000,2022-02-23 20:17:39+00:00,124.0,2.58,1.67,2.37,0.0,0.0,5.0,5,0.07935490966796876,False,REGULAR,USD
9,LQD230120C00125000,2022-03-29 14:48:36+00:00,125.0,1.76,0.0,0.0,0.0,0.0,15.0,77,0.007822421875,False,REGULAR,USD
10,LQD230120C00126000,2022-02-14 05:00:00+00:00,126.0,2.7,0.0,0.0,0.0,0.0,,0,0.007822421875,False,REGULAR,USD
11,LQD230120C00127000,2022-02-11 16:53:06+00:00,127.0,2.0,0.34,1.73,0.0,0.0,1.0,2,0.08741146972656251,False,REGULAR,USD
12,LQD230120C00128000,2022-03-08 16:46:35+00:00,128.0,1.36,0.0,0.0,0.0,0.0,1.0,1,0.015634843750000002,False,REGULAR,USD
13,LQD230120C00129000,2022-02-04 16:03:53+00:00,129.0,1.85,1.31,2.82,0.0,0.0,1.0,1,0.13031875549316402,False,REGULAR,USD
14,LQD230120C00130000,2022-03-15 19:36:51+00:00,130.0,0.99,0.0,0.0,0.0,0.0,2.0,22,0.015634843750000002,False,REGULAR,USD
15,LQD230120C00131000,2021-11-10 11:49:47+00:00,131.0,6.5,3.75,4.85,0.0,0.0,2.0,2,0.19574778869628906,False,REGULAR,USD
16,LQD230120C00132000,2022-03-14 15:14:00+00:00,132.0,1.55,0.0,0.0,0.0,0.0,2.0,8,0.015634843750000002,False,REGULAR,USD
17,LQD230120C00133000,2021-12-27 14:44:06+00:00,133.0,3.8,0.58,1.64,0.0,0.0,1.0,6,0.12384909362792969,False,REGULAR,USD
18,LQD230120C00134000,2021-11-10 11:49:47+00:00,134.0,4.0,2.26,3.35,0.0,0.0,1.0,5,0.17847501220703127,False,REGULAR,USD
19,LQD230120C00135000,2022-03-22 19:47:12+00:00,135.0,0.37,0.0,0.0,0.0,0.0,1.0,14,0.0312596875,False,REGULAR,USD
20,LQD230120C00136000,2022-03-17 17:00:50+00:00,136.0,0.42,0.0,0.0,0.0,0.0,1.0,5,0.0312596875,False,REGULAR,USD
21,LQD230120C00137000,2021-11-10 11:49:47+00:00,137.0,1.1,1.25,2.27,0.0,0.0,5.0,29,0.16632913757324225,False,REGULAR,USD
22,LQD230120C00138000,2022-01-04 14:50:07+00:00,138.0,1.1,0.2,0.62,0.0,0.0,5.0,28,0.11170321899414062,False,REGULAR,USD
23,LQD230120C00140000,2021-10-21 14:19:50+00:00,140.0,1.0,0.24,1.46,0.0,0.0,4.0,55,0.15583119567871095,False,REGULAR,USD
24,LQD230120C00142000,2022-01-21 18:17:28+00:00,142.0,0.36,0.0,0.29,0.0,0.0,2.0,3,0.108407353515625,False,REGULAR,USD
25,LQD230120C00150000,2021-11-10 11:49:48+00:00,150.0,0.51,0.0,1.23,0.0,0.0,2.0,2,0.192390888671875,False,REGULAR,USD
26,LQD230120C00155000,2021-11-10 11:49:48+00:00,155.0,0.01,0.0,1.33,0.0,0.0,2.0,2,0.2172929833984375,False,REGULAR,USD
27,LQD230120C00160000,2021-11-10 11:49:48+00:00,160.0,0.01,0.0,0.94,0.0,0.0,1.0,1,0.2166826379394531,False,REGULAR,USD
